date;categoryName;payee;comment;outcomeAccountName;outcome;outcomeCurrencyShortTitle;incomeAccountName;income;incomeCurrencyShortTitle;createdDate;changedDate;qrCode
2024-05-28;"Еда / Продукты";"VKUSVILL 2718_8";;"Тиньк";"124";RUB;"Тиньк";"0";RUB;"2024-05-28 19:37:56";"2024-05-28 20:09:58";
2024-05-28;"Еда / Фастфуд/обед/кофе";"VKUSVILL";"Запеканка";"Тиньк";"304.74";RUB;"Тиньк";"0";RUB;"2024-05-28 10:52:07";"2024-05-30 10:08:06";
2024-05-27;"Еда / Продукты";"MAGNIT MM BOTEVGRAD";;"Тиньк";"8.97";RUB;"Тиньк";"0";RUB;"2024-05-27 21:25:57";"2024-05-27 21:45:11";
2024-05-27;"Еда / Продукты";"VKUSVILL 2718_5";;"Тиньк";"78";RUB;"Тиньк";"0";RUB;"2024-05-27 21:20:30";"2024-05-27 21:45:11";
2024-05-27;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"1977.67";RUB;"Тиньк";"0";RUB;"2024-05-27 21:17:52";"2024-05-27 21:45:11";
2024-05-27;"Еда / Фастфуд/обед/кофе";"VKUSVILL";"Яблоко";"Тиньк";"39.06";RUB;"Тиньк";"0";RUB;"2024-05-27 10:59:01";"2024-05-30 10:07:11";
2024-05-26;"Еда / Продукты";"VKUSVILL 2718_5";;"Тиньк";"88";RUB;"Тиньк";"0";RUB;"2024-05-26 21:15:35";"2024-05-26 21:48:57";
2024-05-25;"Еда / Продукты";"PEREKRESTOK SLAVYANSKI";;"Тиньк";"493.77";RUB;"Тиньк";"0";RUB;"2024-05-25 16:46:08";"2024-05-25 20:28:40";
2024-05-25;"Отдых и развлечения и приколы";"TINKOFF.MOVIE";;"Тиньк";"1520";RUB;"Тиньк";"0";RUB;"2024-05-25 16:16:09";"2024-05-25 16:49:59";
2024-05-25;"Еда / Фастфуд/обед/кофе";"IP Ermolaev V.S.";"Салат трубач";"Альфа ЗП ";"490";RUB;"Альфа ЗП ";"0";RUB;"2024-05-25 15:43:29";"2024-05-30 10:06:55";
2024-05-25;"Еда / Фастфуд/обед/кофе";"IP MalakhovaAV";"Ребра";"Альфа ЗП ";"800";RUB;"Альфа ЗП ";"0";RUB;"2024-05-25 15:25:12";"2024-05-30 10:06:55";
2024-05-25;"Еда / Бухло ";"Александр Г.";"Гурин";"Тиньк";"400";RUB;"Тиньк";"0";RUB;"2024-05-25 14:57:34";"2024-05-30 10:05:10";
2024-05-25;"Еда / Рестораны";"THE BULL";;"Альфа ЗП ";"350";RUB;"Альфа ЗП ";"0";RUB;"2024-05-25 15:04:12";"2024-05-27 10:46:53";
2024-05-25;"Подписки ";"Y.M*OZON";;"Тиньк";"199";RUB;"Тиньк";"0";RUB;"2024-05-25 14:10:31";"2024-05-25 15:09:50";
2024-05-24;;;"Перевод денежных средств";"Альфа ЗП ";"40000";RUB;"Тиньк";"40000";RUB;"2024-05-24 19:39:17";"2024-05-24 20:13:52";
2024-05-24;;;;"Тиньк";"68000";RUB;"Сбережения";"68000";RUB;"2024-05-24 19:37:54";"2024-05-25 11:28:57";
2024-05-24;;;;"Тиньк";"40000";RUB;"Сбережения";"40000";RUB;"2024-05-24 19:39:31";"2024-05-25 11:28:57";
2024-05-24;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"415.7";RUB;"Тиньк";"0";RUB;"2024-05-24 19:07:11";"2024-05-24 20:13:52";
2024-05-24;"Еда / Продукты";"KRASNOE I BELOE";;"Тиньк";"104.89";RUB;"Тиньк";"0";RUB;"2024-05-24 19:26:03";"2024-05-24 20:13:52";
2024-05-24;"Зарплата";"Елена М.";;"Тиньк";"0";RUB;"Тиньк";"70000";RUB;"2024-05-24 18:11:46";"2024-05-24 18:23:50";
2024-05-24;"Зарплата";;"ЗАРПЛАТА ЗА ПЕРВУЮ ПОЛОВИНУ МЕСЯЦА. Основание 7728881950240524FYP0 Платёжное поручение №978301 от 24.05.2024.";"Альфа ЗП ";"0";RUB;"Альфа ЗП ";"59999.5";RUB;"2024-05-24 17:56:41";"2024-05-25 11:28:57";
2024-05-24;"Еда / Фастфуд/обед/кофе";"VKUSVILL";;"Тиньк";"276";RUB;"Тиньк";"0";RUB;"2024-05-24 10:59:12";"2024-05-28 13:10:49";
2024-05-23;"Еда / Фастфуд/обед/кофе";"VKUSVILL";;"Тиньк";"259.98";RUB;"Тиньк";"0";RUB;"2024-05-23 10:45:40";"2024-05-28 13:11:11";
2024-05-22;"Озонинг";"Перевод по запросу самому себе";;"Тиньк";"1000";RUB;"Тиньк";"0";RUB;"2024-05-22 22:47:13";"2024-05-23 08:10:47";
2024-05-22;"Еда / Продукты";"MAGNIT MM BOTEVGRAD";;"Тиньк";"160.92";RUB;"Тиньк";"0";RUB;"2024-05-22 21:19:43";"2024-05-22 22:23:51";
2024-05-22;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"990.15";RUB;"Тиньк";"0";RUB;"2024-05-22 21:12:34";"2024-05-22 22:23:51";
2024-05-22;"Еда / Продукты";"PRODUKTY_24_2";;"Тиньк";"45";RUB;"Тиньк";"0";RUB;"2024-05-22 20:40:27";"2024-05-22 22:23:51";
2024-05-22;"Еда / Продукты";"Kremenchugskaya 4 Ulic";;"Тиньк";"510";RUB;"Тиньк";"0";RUB;"2024-05-22 20:39:03";"2024-05-23 20:54:55";
2024-05-22;"Еда / Рестораны";"Фу Сян";;"Альфа ЗП ";"2440";RUB;"Альфа ЗП ";"0";RUB;"2024-05-22 19:57:53";"2024-05-24 10:10:09";
2024-05-22;"Еда / Продукты";"VKUSVILL_KCO 4918_2";;"Тиньк";"276.05";RUB;"Тиньк";"0";RUB;"2024-05-22 10:55:09";"2024-05-22 20:48:50";
2024-05-21;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"32.99";RUB;"Тиньк";"0";RUB;"2024-05-21 19:26:24";"2024-05-21 21:28:40";
2024-05-21;"Еда / Фастфуд/обед/кофе";"SUBWAY";;"Альфа ЗП ";"289";RUB;"Альфа ЗП ";"0";RUB;"2024-05-21 10:08:12";"2024-05-24 10:09:21";
2024-05-21;"Еда / Продукты";"VKUSVILL 2184_KCO";;"Тиньк";"60";RUB;"Тиньк";"0";RUB;"2024-05-21 10:03:10";"2024-05-21 10:53:52";
2024-05-20;"Еда / Продукты";"VKUSVILL 2718_1";;"Тиньк";"609";RUB;"Тиньк";"0";RUB;"2024-05-20 21:29:31";"2024-05-20 21:50:43";
2024-05-20;"Еда / Рестораны, Ошибки ";"Mnogo Lososya";;"Тиньк";"3040";RUB;"Тиньк";"0";RUB;"2024-05-20 19:48:32";"2024-05-20 22:04:36";
2024-05-20;"Еда / Продукты";"SPAR EXPRESS";;"Тиньк";"60.9";RUB;"Тиньк";"0";RUB;"2024-05-20 18:50:34";"2024-05-20 19:07:07";
2024-05-20;"Еда / Продукты";"VKUSVILL 2184_7";;"Тиньк";"254";RUB;"Тиньк";"0";RUB;"2024-05-20 10:24:55";"2024-05-20 19:07:07";
2024-05-19;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"871.52";RUB;"Тиньк";"0";RUB;"2024-05-19 21:38:35";"2024-05-20 10:33:52";
2024-05-19;"Еда / Продукты";"SMOKING ISLAND";;"Тиньк";"384";RUB;"Тиньк";"0";RUB;"2024-05-19 21:20:51";"2024-05-19 21:48:48";
2024-05-19;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"72.99";RUB;"Тиньк";"0";RUB;"2024-05-19 16:10:35";"2024-05-19 17:00:47";
2024-05-18;"Транспорт";"Taxi";;"Pay card";"257";RUB;"Pay card";"0";RUB;"2024-05-18 12:36:16";"2024-05-29 20:02:12";
2024-05-18;"Еда / Продукты";"PEREKRESTOK SLAVYANSKI";;"Тиньк";"26.99";RUB;"Тиньк";"0";RUB;"2024-05-18 19:39:18";"2024-05-18 20:57:04";
2024-05-18;"Еда / Бухло ";"РАИСА П.";"Клин";"Тиньк";"1000";RUB;"Тиньк";"0";RUB;"2024-05-18 14:25:05";"2024-05-30 10:03:49";
2024-05-18;"Еда / Рестораны";"Николай П.";"Фестивальное мясное";"Тиньк";"1450";RUB;"Тиньк";"0";RUB;"2024-05-18 15:30:28";"2024-05-24 10:14:50";
2024-05-18;"Транспорт";"Krukovo Privokzalnaya";;"Тиньк";"235";RUB;"Тиньк";"0";RUB;"2024-05-18 17:47:53";"2024-05-19 17:00:47";
2024-05-18;"Еда / Фастфуд/обед/кофе";"AO PODMOSKOVIYA.";"Ермолино";"Тиньк";"127.01";RUB;"Тиньк";"0";RUB;"2024-05-18 17:19:40";"2024-05-30 10:05:45";
2024-05-18;"Еда / Бухло ";"НАТАЛИЯ З.";"Клин";"Тиньк";"2000";RUB;"Тиньк";"0";RUB;"2024-05-18 12:39:08";"2024-05-30 10:03:49";
2024-05-18;"Еда / Продукты";"KRASNOE I BELOE";;"Тиньк";"37.89";RUB;"Тиньк";"0";RUB;"2024-05-18 09:16:50";"2024-05-18 18:05:40";
2024-05-18;"Транспорт";"OAO Moscow Tver PPC Ka";;"Тиньк";"660";RUB;"Тиньк";"0";RUB;"2024-05-18 17:30:47";"2024-05-19 17:00:47";
2024-05-18;"Еда / Фастфуд/обед/кофе";"GURMANIKA";"Бургеры";"Альфа ЗП ";"1170";RUB;"Альфа ЗП ";"0";RUB;"2024-05-18 13:14:06";"2024-05-30 10:05:10";
2024-05-18;"Еда / Рестораны";"IP SAFRONYUK (OD 4)";;"Альфа ЗП ";"200";RUB;"Альфа ЗП ";"0";RUB;"2024-05-18 10:03:56";"2024-05-21 10:35:05";
2024-05-17;"Еда / Продукты";"VKUSVILL 2718_1";;"Тиньк";"49";RUB;"Тиньк";"0";RUB;"2024-05-17 19:29:14";"2024-05-18 18:05:40";
2024-05-17;;;;"Тиньк";"50000";RUB;"Сбережения";"50000";RUB;"2024-05-17 09:16:56";"2024-05-18 18:07:11";
2024-05-17;"Подарки";"Людмила Л.";;"Тиньк";"2000";RUB;"Тиньк";"0";RUB;"2024-05-17 09:15:43";"2024-05-18 18:07:11";
2024-05-16;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"204.98";RUB;"Тиньк";"0";RUB;"2024-05-16 21:57:30";"2024-05-18 17:54:02";
2024-05-16;"Еда / Рестораны";"JORIK UBIL KHAMLETA";;"Альфа ЗП ";"2320.5";RUB;"Альфа ЗП ";"0";RUB;"2024-05-16 20:45:49";"2024-05-19 10:20:05";
2024-05-16;"Еда / Продукты";"SPAR 352";;"Тиньк";"149.9";RUB;"Тиньк";"0";RUB;"2024-05-16 19:48:41";"2024-05-16 20:45:27";
2024-05-16;"Еда / Продукты";"VKUSVILL_KCO 4918_2";;"Тиньк";"98";RUB;"Тиньк";"0";RUB;"2024-05-16 12:26:53";"2024-05-16 13:31:10";
2024-05-16;"Зарплата";;"Закрытие вклада Тинькофф Банк";"Тиньк";"0";RUB;"Тиньк";"52594.63";RUB;"2024-05-16 09:10:20";"2024-05-18 18:12:21";
2024-05-15;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"249.41";RUB;"Тиньк";"0";RUB;"2024-05-15 19:46:45";"2024-05-15 20:04:47";
2024-05-15;"Еда / Продукты";"VKUSVILL 2718_5";;"Тиньк";"263.39";RUB;"Тиньк";"0";RUB;"2024-05-15 19:38:13";"2024-05-15 20:04:47";
2024-05-15;"Еда / Продукты";"Krasnaya Ikra";;"Тиньк";"415.06";RUB;"Тиньк";"0";RUB;"2024-05-15 19:32:57";"2024-05-15 20:04:47";
2024-05-15;"Транспорт";"oplata zhd perevozok17";;"Тиньк";"465";RUB;"Тиньк";"0";RUB;"2024-05-15 13:38:11";"2024-05-18 18:12:21";
2024-05-15;"Еда / Фастфуд/обед/кофе";"COFFEEPORT";;"Альфа ЗП ";"180";RUB;"Альфа ЗП ";"0";RUB;"2024-05-15 13:27:55";"2024-05-18 18:12:21";
2024-05-15;"Еда / Фастфуд/обед/кофе";"DONER HOUSE";;"Альфа ЗП ";"640";RUB;"Альфа ЗП ";"0";RUB;"2024-05-15 12:55:35";"2024-05-16 09:59:14";
2024-05-15;;;;"Тиньк";"10000";RUB;"Альфа ЗП ";"10000";RUB;"2024-05-15 12:13:11";"2024-05-15 12:18:11";
2024-05-14;"Еда / Рестораны";"Top-up";;"Pay card";"0";RUB;"Pay card";"1000";RUB;"2024-05-14 13:35:12";"2024-05-29 20:02:12";
2024-05-14;"Еда / Рестораны";"Top-up";;"Pay card";"0";RUB;"Pay card";"55000";RUB;"2024-05-14 13:44:55";"2024-05-29 20:02:12";
2024-05-14;"Еда / Продукты";"Delivery";;"Pay card";"587";RUB;"Pay card";"0";RUB;"2024-05-14 13:46:12";"2024-05-29 20:02:12";
2024-05-14;"Еда / Продукты";"Kremenchugskaya 4 Ulic";;"Тиньк";"530";RUB;"Тиньк";"0";RUB;"2024-05-14 19:52:59";"2024-05-15 13:03:41";
2024-05-14;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"332.39";RUB;"Тиньк";"0";RUB;"2024-05-14 19:38:18";"2024-05-14 20:39:30";
2024-05-14;"Подписки ";"PODPISKA PAKET";;"Тиньк";"1";RUB;"Тиньк";"0";RUB;"2024-05-14 19:11:14";"2024-05-18 18:12:21";
2024-05-14;"Еда / Продукты";"VKUSVILL_KCO 4918_1";;"Тиньк";"17";RUB;"Тиньк";"0";RUB;"2024-05-14 18:48:29";"2024-05-14 19:08:38";
2024-05-14;"Еда / Продукты";"VKUSVILL 2184_7";;"Тиньк";"33";RUB;"Тиньк";"0";RUB;"2024-05-14 18:40:10";"2024-05-14 19:08:38";
2024-05-14;;;;"Тиньк";"10";RUB;"Pay card";"10";RUB;"2024-05-14 13:41:07";"2024-05-29 20:02:12";
2024-05-14;"Подарки";"YANDEX BANK";"Доставка для милочка ";"Тиньк";"1000";RUB;"Тиньк";"0";RUB;"2024-05-14 13:35:07";"2024-05-15 13:03:41";
2024-05-14;"Еда / Продукты";"VKUSVILL";;"Тиньк";"260";RUB;"Тиньк";"0";RUB;"2024-05-14 11:00:26";"2024-05-14 19:01:55";
2024-05-14;;;;"Альфа ЗП ";"19434";RUB;"Тиньк";"19434";RUB;"2024-05-14 10:36:22";"2024-05-15 12:12:14";
2024-05-13;"Еда / Продукты";"KRASNYJ DRAKON.";;"Тиньк";"521";RUB;"Тиньк";"0";RUB;"2024-05-13 19:04:24";"2024-05-13 20:50:55";
2024-05-13;"Еда / Продукты";"VKUSVILL";;"Тиньк";"60";RUB;"Тиньк";"0";RUB;"2024-05-13 10:48:58";"2024-05-14 19:01:55";
2024-05-13;"Еда / Фастфуд/обед/кофе";"Subway";;"Тиньк";"289";RUB;"Тиньк";"0";RUB;"2024-05-13 10:47:02";"2024-05-13 11:25:19";
2024-05-12;"Озонинг";"Перевод по запросу самому себе";;"Тиньк";"2000";RUB;"Тиньк";"0";RUB;"2024-05-12 21:46:21";"2024-05-12 22:01:47";
2024-05-11;"Ошибки ";"""IP Fedotov E. A.""";"Пиво (невкусное)";"Тиньк";"280";RUB;"Тиньк";"0";RUB;"2024-05-11 20:31:06";"2024-05-18 18:14:49";
2024-05-11;"Ошибки ";"""IP Fedotov E. A.""";"Пиво(невкусное)";"Тиньк";"520";RUB;"Тиньк";"0";RUB;"2024-05-11 20:24:05";"2024-05-18 18:14:49";
2024-05-11;"Еда / Рестораны";"JORIK UBIL KHAMLETA";;"Тиньк";"2394";RUB;"Тиньк";"0";RUB;"2024-05-11 19:58:38";"2024-05-11 21:54:44";
2024-05-11;"Еда / Продукты";"SPAR 352";;"Тиньк";"74.9";RUB;"Тиньк";"0";RUB;"2024-05-11 19:10:15";"2024-05-11 20:04:39";
2024-05-11;"Еда / Продукты";"MAGNIT MM BOTEVGRAD";;"Тиньк";"76.99";RUB;"Тиньк";"0";RUB;"2024-05-11 13:34:45";"2024-05-11 17:57:19";
2024-05-11;"Еда / Продукты";"Буренка";;"Тиньк";"667";RUB;"Тиньк";"0";RUB;"2024-05-11 13:43:22";"2024-05-12 20:44:14";
2024-05-11;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"1385.48";RUB;"Тиньк";"0";RUB;"2024-05-11 13:28:01";"2024-05-11 13:46:48";
2024-05-11;"Еда / Продукты";"VKUSVILL 2718_5";;"Тиньк";"889";RUB;"Тиньк";"0";RUB;"2024-05-11 13:09:52";"2024-05-11 13:26:15";
2024-05-10;"На лапу подай";;;"Тиньк";"0";RUB;"Тиньк";"10";RUB;"2024-05-10 20:16:33";"2024-05-10 20:16:56";
2024-05-10;"Еда / Продукты";"VKUSVILL 2718_5";;"Тиньк";"66";RUB;"Тиньк";"0";RUB;"2024-05-10 12:46:50";"2024-05-10 13:55:17";
2024-05-09;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"690.95";RUB;"Тиньк";"0";RUB;"2024-05-09 14:13:02";"2024-05-09 14:43:56";
2024-05-08;"Транспорт";"Taxi";;"Pay card";"342";RUB;"Pay card";"0";RUB;"2024-05-08 21:26:40";"2024-05-29 20:02:12";
2024-05-08;"Подписки ";"Plus";;"Pay card";"399";RUB;"Pay card";"0";RUB;"2024-05-08 12:23:58";"2024-05-30 10:03:49";
2024-05-08;"Зарплата";;"ЗАРАБОТНАЯ ПЛАТА. Основание 77288819500805243X3M Платёжное поручение №548463 от 08.05.2024.";"Альфа ЗП ";"0";RUB;"Альфа ЗП ";"19047.72";RUB;"2024-05-08 17:52:26";"2024-05-15 12:12:14";
2024-05-08;"Сервис/канцелярия ";"FIXPRICE 8579";;"Тиньк";"298";RUB;"Тиньк";"0";RUB;"2024-05-08 21:02:01";"2024-05-09 13:21:14";
2024-05-08;"Еда / Фастфуд/обед/кофе";"IP Krasnov Kn";"Шава ";"Тиньк";"270";RUB;"Тиньк";"0";RUB;"2024-05-08 12:02:58";"2024-05-09 13:24:45";
2024-05-07;"Подарки";;"Маник и ебыч зае ";"Тиньк";"7000";RUB;"Тиньк";"0";RUB;"2024-05-09 13:23:00";"2024-05-09 13:24:45";
2024-05-07;"Еда / Продукты";"VKUSVILL CAFE 4918_1";;"Тиньк";"137.22";RUB;"Тиньк";"0";RUB;"2024-05-07 11:59:03";"2024-05-07 13:26:09";
2024-05-06;"Еда / Продукты";"MAGNIT MM BOTEVGRAD";;"Тиньк";"166.84";RUB;"Тиньк";"0";RUB;"2024-05-06 21:29:21";"2024-05-06 22:33:34";
2024-05-06;"Еда / Продукты";"PEREKRESTOK";;"Тиньк";"1276.74";RUB;"Тиньк";"0";RUB;"2024-05-06 21:20:41";"2024-05-09 13:24:45";
2024-05-06;"Зарплата";"Тинькофф";;"Тиньк";"0";RUB;"Тиньк";"70000";RUB;"2024-05-06 19:34:22";"2024-05-09 13:24:45";
2024-05-06;"Еда / Продукты";"VKUSVILL";;"Тиньк";"326.2";RUB;"Тиньк";"0";RUB;"2024-05-06 12:03:00";"2024-05-14 19:04:00";
2024-05-05;"Транспорт";"Taxi";;"Pay card";"304";RUB;"Pay card";"0";RUB;"2024-05-05 13:42:46";"2024-05-29 20:02:12";
2024-05-05;"Еда / Бухло ";"Craftland";;"Тиньк";"800";RUB;"Тиньк";"0";RUB;"2024-05-05 20:09:35";"2024-05-06 20:30:26";
2024-05-05;"Еда / Рестораны";"Craftland";;"Тиньк";"1490";RUB;"Тиньк";"0";RUB;"2024-05-05 20:09:34";"2024-05-06 20:30:26";
2024-05-04;"Еда / Рестораны";"Top-up";;"Pay card";"0";RUB;"Pay card";"1000";RUB;"2024-05-04 13:43:32";"2024-05-29 20:02:12";
2024-05-04;"Подписки ";"SingularityApp";;"Тиньк";"199";RUB;"Тиньк";"0";RUB;"2024-05-04 21:33:09";"2024-05-04 21:52:15";
2024-05-04;"Еда / Рестораны";"The bull-aminevka";;"Тиньк";"2850";RUB;"Тиньк";"0";RUB;"2024-05-04 14:36:14";"2024-05-04 14:46:48";
2024-05-04;;;;"Тиньк";"1000";RUB;"Pay card";"1000";RUB;"2024-05-04 13:43:25";"2024-05-30 09:47:23";
2024-05-02;"Еда / Продукты";"VKUSVILL 2718_1";;"Тиньк";"133";RUB;"Тиньк";"0";RUB;"2024-05-02 19:06:40";"2024-05-04 09:46:22";
2024-05-02;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"499.98";RUB;"Тиньк";"0";RUB;"2024-05-02 19:09:41";"2024-05-04 21:35:31";
2024-05-02;"Еда / Продукты";"VKUSVILL";;"Тиньк";"227.96";RUB;"Тиньк";"0";RUB;"2024-05-02 12:20:08";"2024-05-04 21:35:31";
2024-05-02;"Еда / Фастфуд/обед/кофе";"KAFE PIROG-KHAUZ";;"Тиньк";"100";RUB;"Тиньк";"0";RUB;"2024-05-02 11:50:50";"2024-05-04 21:35:31";
2024-05-02;;;;"Сбережения";"20000";RUB;"Тиньк";"20000";RUB;"2024-05-02 09:01:19";"2024-05-04 21:35:31";
2024-05-02;"Кредит";;"Пополнение Кубышки";"Тиньк";"553.09";RUB;"Тиньк";"0";RUB;"2024-05-02 09:01:29";"2024-05-05 19:16:31";
2024-05-01;"Транспорт";"Taxi";;"Pay card";"683";RUB;"Pay card";"0";RUB;"2024-05-01 11:02:52";"2024-05-29 20:02:12";
2024-05-01;"Подписки ";"PAY.MTS.RU";;"Тиньк";"950";RUB;"Тиньк";"0";RUB;"2024-05-01 14:27:05";"2024-05-01 18:10:36";
2024-05-01;"Подписки ";"YM*YANDEX.CLOUD";;"Тиньк";"88.47";RUB;"Тиньк";"0";RUB;"2024-05-01 14:00:48";"2024-05-05 19:07:28";
2024-05-01;"Подписки ";"Tinkoff Pro";;"Тиньк";"299";RUB;"Тиньк";"0";RUB;"2024-05-01 18:08:35";"2024-05-01 18:10:36";
2024-05-01;"Отпуск ";"NSK METROPOLITEN";;"Тиньк";"35";RUB;"Тиньк";"0";RUB;"2024-05-01 10:23:18";"2024-05-18 18:12:21";
2024-05-01;"Отпуск ";"KHAN BUZ";;"Тиньк";"898";RUB;"Тиньк";"0";RUB;"2024-05-01 10:26:10";"2024-05-04 21:35:31";
2024-05-01;"Отпуск ";"TRANSPORT NSK METRO";;"Тиньк";"35";RUB;"Тиньк";"0";RUB;"2024-05-01 09:53:58";"2024-05-01 10:53:20";
2024-05-01;"Отпуск ";"BODRYJ DEN";;"Тиньк";"180";RUB;"Тиньк";"0";RUB;"2024-05-01 08:49:23";"2024-05-04 21:35:31";
2024-05-01;"Отпуск ";"Krep De Kofe";;"Тиньк";"1760";RUB;"Тиньк";"0";RUB;"2024-05-01 07:48:22";"2024-05-01 09:42:48";
2024-05-01;"Отпуск ";"GOSTINITSA TSENTRALNAY";"Хранение ";"Тиньк";"100";RUB;"Тиньк";"0";RUB;"2024-05-01 06:55:04";"2024-05-04 21:35:31";
2024-04-30;"Отпуск  / Транспорт, сервис ";"TRANSPORT NSK METRO";;"Тиньк";"35";RUB;"Тиньк";"0";RUB;"2024-04-30 15:42:29";"2024-05-15 12:33:23";
2024-04-30;;;;"Тиньк";"100";RUB;"Инвестиции ";"100";RUB;"2024-04-30 17:56:15";"2024-05-05 19:37:36";
2024-04-30;;;;"Сбережения";"6000";RUB;"Тиньк";"6000";RUB;"2024-04-30 17:55:59";"2024-04-30 18:54:44";
2024-04-30;"Отпуск  / Еда, бухло ";"DZHEM";;"Тиньк";"2730";RUB;"Тиньк";"0";RUB;"2024-04-30 17:03:44";"2024-05-15 12:33:23";
2024-04-30;"Отпуск  / Еда, бухло ";"Mannaconfectionery";;"Тиньк";"369";RUB;"Тиньк";"0";RUB;"2024-04-30 17:17:47";"2024-05-15 12:34:32";
2024-04-30;"Отпуск  / Еда, бухло ";"YARCHE";;"Тиньк";"710.83";RUB;"Тиньк";"0";RUB;"2024-04-30 17:44:40";"2024-05-15 12:33:23";
2024-04-30;"Отпуск  / Развлекуха ";"OOO Nekropol_";;"Тиньк";"2600";RUB;"Тиньк";"0";RUB;"2024-04-30 11:30:21";"2024-05-15 12:33:23";
2024-04-30;"Отпуск  / Транспорт, сервис ";"PTSMUP";;"Тиньк";"45";RUB;"Тиньк";"0";RUB;"2024-04-30 10:56:37";"2024-05-15 12:33:23";
2024-04-30;"Отпуск  / Транспорт, сервис ";"TRANSPORT NSK METRO";;"Тиньк";"35";RUB;"Тиньк";"0";RUB;"2024-04-30 10:49:59";"2024-05-15 12:33:23";
2024-04-30;"Отпуск  / Еда, бухло ";"MASTER";;"Тиньк";"190";RUB;"Тиньк";"0";RUB;"2024-04-30 10:07:17";"2024-05-15 12:34:49";
2024-04-30;"Отпуск  / Еда, бухло ";"Cuba Coffee Bar";;"Тиньк";"1480";RUB;"Тиньк";"0";RUB;"2024-04-30 07:08:38";"2024-05-15 12:33:23";
2024-04-30;"Проценты ";;"Кэшбэк за обычные покупки";"Тиньк";"0";RUB;"Тиньк";"1000";RUB;"2024-04-29 22:31:49";"2024-04-30 04:52:22";
2024-04-30;"Проценты ";;"Проценты на остаток";"Тиньк";"0";RUB;"Тиньк";"54.68";RUB;"2024-04-29 22:30:57";"2024-04-30 04:52:22";
